Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Forest Service","3464","Board of Contract Appeals","","NONE PROVIDED","","201405779","085762014","10/27/2014","4000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4000.00","Y",
"Indian Health Svc","2006-2010 & 3983-3987","Board of Contract Appeals","","NONE PROVIDED","","201406464","081762014","10/07/2014","1500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","53714.02","41-USC-7101et seq        ","Contract Disputes Act","1553714.02","Y",
"Indian Health Svc","CBCA 4038-ISDA","Board of Contract Appeals","","58G950016","58G950016","201406596","085522014","10/23/2014","8800000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","8800000.00","Y",
"Department of the Army","56581","Board of Contract Appeals","","NONE PROVIDED","","201406604","083202014","10/09/2014","1546.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","281.07","41-USC-7101et seq        ","Contract Disputes Act","1827.07","Y",
"Indian Health Svc","4037","Board of Contract Appeals","","NONE PROVIDED","","201500135","001012015","10/17/2014","3290000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","191146.81","41-USC-7101et seq        ","Contract Disputes Act","3481146.81","Y",
"Indian Health Svc","","Board of Contract Appeals","","65G990059","","201500152","002302015","10/24/2014","479000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","8456.32","41-USC-7101et seq        ","Contract Disputes Act","487456.32","Y",
"Indian Health Svc","","Board of Contract Appeals","","NONE PROVIDED","","201500163","002292015","10/24/2014","325000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","18851.12","41-USC-7101et seq        ","Contract Disputes Act","343851.12","Y",
"Indian Health Svc","CBCA 619-ISDA THRU 625-ISDA, CBCA 2982 & CBCA 3001","Board of Contract Appeals","","NONE","","201500169","004212015","11/10/2014","3800000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1263480.44","41-USC-7101et seq        ","Contract Disputes Act","5063480.44","Y",
"Indian Health Svc","","Board of Contract Appeals","","NONE PROVIDED","","201500189","002322015","10/27/2014","3300000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","200678.50","41-USC-7101et seq        ","Contract Disputes Act","3500678.50","Y",
"Indian Health Svc","","Board of Contract Appeals","","None provided","","201500304","002752015","10/29/2014","109901.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","4152.93","41-USC-7101et seq        ","Contract Disputes Act","114053.93","Y",
"Department of State","","Board of Contract Appeals","","NONE PROVIDED","NONE PROVIDED","201500322","019822015","02/13/2015","2547745.20","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","136041.77","41-USC-7101et seq        ","Contract Disputes Act","2683786.97","Y",
"Natl Inst of Health","","Board of Contract Appeals","","CBCA 2812","CBCA 2812","201500364","004992015","11/18/2014","269259.17","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","269259.17","Y",
"Indian Health Svc","4023","Board of Contract Appeals","","NONE PROVIDED","","201500632","007942015","01/16/2015","22272.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","530.49","41-USC-7101et seq        ","Contract Disputes Act","22802.49","Y",
"Indian Health Svc","","Board of Contract Appeals","","None provided","","201500695","008712015","12/12/2014","2208357.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","625868.79","41-USC-7101et seq        ","Contract Disputes Act","2834225.79","Y",
"Indian Health Svc","","Board of Contract Appeals","","HHSI23920060005C et el","HHSI23920060005C et el","201500889","009442015","12/17/2014","1554118.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","62134.73","41-USC-7101et seq        ","Contract Disputes Act","1616252.73","Y",
"Indian Health Svc","","Board of Contract Appeals","","NONE PROVIDED","","201500941","011962015","12/23/2014","285000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","11609.16","41-USC-7101et seq        ","Contract Disputes Act","296609.16","Y",
"Indian Health Svc","","Board of Contract Appeals","","HHSI242100600006C","","201501096","012122015","12/29/2014","22348.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","819.49","41-USC-7101et seq        ","Contract Disputes Act","23167.49","Y",
