,Agency,Settlements
0,Social Security Administration,13693
1,Department of Veterans Affairs,7954
2,Department of the Army,7888
3,Department of Navy,5659
4,Internal Revenue Service/S&E,4332
5,Adm Ofc of US Courts,3854
6,Bureau of Prisons,3573
7,Customs and Border Protection,3081
8,Department of the Air Force,2485
9,Fed Bureau of Invest,2475
10,Drug Enforcement Adm,940
11,DHS - Immigration  & Customs Enforcement (ICE),928
12,Department of Agriculture,925
13,Forest Service,732
14,Indian Health Svc,724
15,Natl Park Service,723
16,Marshals Service,709
17,US Army Corps of Engineers,591
18,Coast Guard,576
19,Department of the Interior,512
20,Environmental Protection Agency,509
21,Department of Justice,500
22,DHS - TSA  Trans. SEC. Admin.,492
23,Bur of Indian Affair,477
24,Alcohol Tobacco Fire,476
25,Secret Service at Homeland Security,475
26,General Services Administration,471
27,Fed Aviation Admin,460
28,Small Business Administration,374
29,Department of Energy,360
30,Fish & Wildlife Svc,331
31,Department of State,283
32,Bur of Land Mgmt,262
33,Animal & Plant Hlth,257
34,Immigration & Nat,232
35,Homeland Security,226
36,Department of Commerce,206
37,Department of Health and Human Services,190
38,Immigration & Custom,164
39,Office of the Secretary of Defense - Agencies,159
40,Food Safety & Inspec,156
41,Department of Housing and Urban Development,155
42,Geological Survey,142
43,FEMA,129
44,Department of Labor,113
45,Surface Transportation Board,110
46,Citizen & Immig Svc,108
47,Natural Resource C,106
48,U.S. Equal Employment Opportunity Comm.,106
49,Natl Guard Bureau; US Army Corps of Engineers,105
50,Department of the Interior; Department of the Treasury,103
51,Smithsonian Institution,86
52,Army claims service,81
53,Bur of Reclamation,80
54,Office of Personnel Management,80
55,Comm on Natl & Community Service,74
56,Bonneville Power,74
57,Maritime Admin,74
58,Department of Transportation,70
59,Government Printing Office,68
60,Marine Corps,60
61,Agricultural Res Svc,56
62,Food & Drug Adm,54
63,Fed Protect Svc,52
64,Department of Health and Human Services; Department of Labor; Department of the Treasury,50
65,Bureau of the Census,49
66,Natl Inst of Health,46
67,DHS - Federal Protection Service,46
68,Department of Commerce; Department of Health and Human Services; Department of Housing and Urban Development; Department of Justice; Department of Labor; Department of Navy; Department of State; Department of the Interior; Department of the Treasury; Department of Transportation; Environmental Protection Agency; Fed Aviation Admin; Fed Bureau of Invest; Federal Deposit Insurance Corp; Food & Drug Adm; General Services Administration; Marshals Service; National Aeronautics and Space Administration; Office of Personnel Management; Office of the Secretary of Defense - Agencies; Railroad Retirement Board; Small Business Administration; Social Security Administration,45
69,Central Intelligence Agency,42
70,General Services Administration; Office of the Secretary of Defense - Agencies,40
71,Department of Justice; Social Security Administration,40
72,Western Area Power,39
73,Def Logistics Agency,37
74,HHS-OIG,36
75,Federal Emergency Management Administration at DHS,35
76,Department of Commerce; Department of the Treasury; General Services Administration,35
77,Mine Safety & Health,35
78,Department of Navy; Department of the Air Force; Department of the Army,34
79,Broadcasting Board of Governors,32
80,National Aeronautics and Space Administration,32
81,Architect of the Capitol,31
82,Department of Commerce; Department of Labor; Department of the Treasury; General Services Administration; Office of the Secretary of Defense - Agencies,29
83,Natl Oceanic & Atmos,26
84,DHS-Immigration Sevc,26
85,Department of the Treasury,26
86,Foreign Claims Settlement Comm,26
87,Library of Congress,26
88,Independent Agencies inc. Nat'l Park Service,24
89,Treasury IG for Tax Admin,23
90,Defense Commisary,23
91,Department of Commerce; Department of Health and Human Services; Department of Housing and Urban Development; Department of Justice; Department of Labor; Department of Navy; Department of State; Department of the Interior; Department of the Treasury; Department of Transportation; Environmental Protection Agency; Fed Aviation Admin; Fed Bureau of Invest; Federal Deposit Insurance Corp; General Services Administration; Marshals Service; Office of Personnel Management; Office of the Secretary of Defense - Agencies; Railroad Retirement Board; Small Business Administration; Social Security Administration,22
92,Rural Development,22
93,Department of Commerce; Department of Navy; Department of the Air Force; Department of the Army; Maritime Admin,21
94,Alcohol Tobacco Fire; Bur of Land Mgmt; Customs and Border Protection; Department of Navy; Department of Transportation; DHS - Immigration  & Customs Enforcement (ICE); Drug Enforcement Adm; Environmental Protection Agency; Fed Aviation Admin; Fed Bureau of Invest; Fish & Wildlife Svc; FLETC at Homeland Security; Forest Service; Internal Revenue Service/S&E; Marshals Service; Off of the Inspector General; Office of Personnel Management; Office of the Secretary of Defense - Agencies; Secret Service at Homeland Security,21
95,Natl Marine Fisher,20
96,Department of Energy; General Services Administration,19
97,JFK - Center for the Performing Arts,19
98,Federal Trade Commission,18
99,Food & Nutrition Svc,18
100,Department of Education,18
101,Farm Service Agency,18
102,Fed RR Admin,18
103,Other Legislative Branch,17
104,Department of the Air Force; National Aeronautics and Space Administration; Office of the Secretary of Defense - Agencies,17
105,Department of Agriculture; Department of Education; Department of Energy; Department of Justice; DHS - Immigration  & Customs Enforcement (ICE); FEMA; General Accounting Office; U.S. Nuclear Regulatory Commission,16
106,Federal Highway Admn,15
107,Department of Energy; Department of Navy; Department of the Air Force; Department of the Army; National Aeronautics and Space Administration,15
108,Court Services & Offender Services,15
109,Federal Communications Commission,14
110,Occupational Safety,13
111,Natl Guard Bureau,13
112,National Archives and Records Administration,13
113,Department of Commerce; Department of Navy,13
114,Agency for International Development,13
115,Exec Offfice of the President,12
116,Department of the Air Force; Department of the Army; General Services Administration,12
117,National Labor Relations Board,11
118,Department of Navy; Department of the Army,10
119,Department of Commerce; Department of the Air Force; National Aeronautics and Space Administration; Office of the Secretary of Defense - Agencies,10
120,Surface Mining Recl,10
121,Ctr for Disease Cont,9
122,Department of Health and Human Services; Department of Justice,9
123,U.S. Capitol Police,9
124,Customs and Border Protection; Homeland Security,9
125,Department of Agriculture; Department of the Interior,9
126,Department of Energy; Department of the Air Force,9
127,U.S. Nuclear Regulatory Commission,9
128,Ofc of Inspct Gen-Ag,9
129,Def Contract Audit,9
130,Department of the Air Force; Department of the Army,9
131,Department of Justice; Department of Veterans Affairs,8
132,Department of the Interior; Forest Service,8
133,Merit Systems Protection Board,7
134,Department of Health and Human Services; Indian Health Svc,7
135,Bur of Labor Stat,7
136,Department of Justice; Department of Navy,7
137,Department of the Interior; Fish & Wildlife Svc,7
138,Department of Navy; Maritime Admin,7
139,FLETC at Homeland Security,7
140,Fish & Wildlife Svc; Forest Service,7
141,Natl Credit Union Administration,7
142,Department of Navy; Department of the Air Force; Department of the Army; Office of the Secretary of Defense - Agencies,7
143,DHS - Office of the Inspector General,6
